(venv) abolfazlnaseri@partadmin:~/CognitiveCourseTasks/T1/T1.1$ python connect_clickhouse.py
در حال اتصال به ClickHouse لوکال...
اتصال موفقیت‌آمیز بود!

در حال اجرای کوئری...
تعداد ردیف‌های دریافت شده: 100

نمونه 100 ردیف اول:
--------------------------------------------------
Event: $feature_flag_called | User: user_8 | Timestamp: 2026-08-09 07:59:54.506826
Event: decision_made | User: user_9 | Timestamp: 2026-08-09 07:59:54.506826
Event: decision_made | User: user_9 | Timestamp: 2026-08-09 07:59:54.506826
Event: decision_made | User: user_9 | Timestamp: 2026-08-09 07:59:54.506826
Event: decision_made | User: user_9 | Timestamp: 2026-08-09 07:59:54.506826
Event: decision_made | User: user_9 | Timestamp: 2026-08-09 07:59:54.506826
Event: decision_made | User: user_9 | Timestamp: 2026-08-09 07:59:54.506826
Event: decision_made | User: user_9 | Timestamp: 2026-08-09 07:59:54.506826
Event: decision_made | User: user_9 | Timestamp: 2026-08-09 07:59:54.506826
Event: decision_made | User: user_9 | Timestamp: 2026-08-09 07:59:54.506826
Event: decision_made | User: user_9 | Timestamp: 2026-08-09 07:59:54.506826
Event: decision_made | User: user_9 | Timestamp: 2026-08-09 07:59:54.506826
Event: decision_made | User: user_9 | Timestamp: 2026-08-09 07:59:54.506826
Event: decision_made | User: user_4 | Timestamp: 2026-08-09 07:59:54.506826
Event: decision_made | User: user_4 | Timestamp: 2026-08-09 07:59:54.506826
Event: decision_made | User: user_4 | Timestamp: 2026-08-09 07:59:54.506826
Event: decision_made | User: user_4 | Timestamp: 2026-08-09 07:59:54.506826
Event: decision_made | User: user_4 | Timestamp: 2026-08-09 07:59:54.506826
Event: decision_made | User: user_4 | Timestamp: 2026-08-09 07:59:54.506826
Event: decision_made | User: user_4 | Timestamp: 2026-08-09 07:59:54.506826
Event: decision_made | User: user_4 | Timestamp: 2026-08-09 07:59:54.506826
Event: decision_made | User: user_4 | Timestamp: 2026-08-09 07:59:54.506826
Event: decision_made | User: user_4 | Timestamp: 2026-08-09 07:59:54.506826
Event: decision_made | User: user_4 | Timestamp: 2026-08-09 07:59:54.506826
Event: decision_made | User: user_4 | Timestamp: 2026-08-09 07:59:54.506826
Event: submit | User: user_7 | Timestamp: 2026-08-09 07:59:54.506826
Event: submit | User: user_7 | Timestamp: 2026-08-09 07:59:54.506826
Event: submit | User: user_7 | Timestamp: 2026-08-09 07:59:54.506826
